screening_record_id,study_id,citation_key,source_record_id,title,year,doi,doi_status,sources,screening_status,final_decision,primary_exclusion_code,harmonized_exclusion_reason,phishing_task_confirmed,primary_study_confirmed,posthoc_xai_confirmed,extractable,eligibility_rationale,metadata_source_note
FT133,,,10.1109/icfsp67350.2025.11353877,AI-Powered Phishing Detection in Email Forensics: A Machine Learning Approach for Cyber Threat,2025,10.1109/icfsp67350.2025.11353877,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"The email-forensics study contrasts Random Forest and CNN and describes RF/TF-IDF features as interpretable, without a post-hoc XAI method.",core_database_candidates.csv
FT134,,,10.1109/ictbig68706.2025.11323696,Agent AI in Cybersecurity: A Novel Multi-Agent Architecture for Proactive Phishing Detection,2025,10.1109/ictbig68706.2025.11323696,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E2,"Non-primary, review, framework, or vision article",yes,no,no,no,The work proposes and surveys a multi-agent phishing-defense architecture rather than reporting a concrete empirical XAI detector.,core_database_candidates.csv
FT135,,,10.1016/j.procs.2025.07.160,CA-MLIDS: A Novel Context-Aware Machine Learning-Based Intrusion Detection System for Phishing Attack Detection,2025,10.1016/j.procs.2025.07.160,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,CA-MLIDS presents a context-aware IDS for phishing detection but the full text does not implement a post-hoc explainer.,core_database_candidates.csv
FT136,S081,Althoubi2025CATGPT4Context,10.1109/cyber-ai66431.2025.11233494,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,2025,10.1109/cyber-ai66431.2025.11233494,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,CAT-GPT-4 uses attention weights and LIME-based token perturbation explanations to identify phishing-email indicators.,citation_key_map_core_database.csv
FT137,,,10.4018/ijdwm.394800,Critical Analysis of Advanced Hybrid Models for Mobile Phishing Detection Through Data Mining and Machine Learning,2025,10.4018/ijdwm.394800,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,exclude,E2,"Non-primary, review, framework, or vision article",yes,no,no,no,"The article is a critical/survey analysis of hybrid mobile phishing detection approaches, not a primary empirical post-hoc XAI study.",core_database_candidates.csv
FT138,,,10.1109/aiiot65859.2025.11105218,Detecting Malicious URLs in Brushing Scams: A Machine Learning Approach with Human-Centered Cybersecurity,2025,10.1109/aiiot65859.2025.11105218,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,The central task is identifying malicious URLs in brushing scams/QR-code contexts rather than phishing-focused detection.,core_database_candidates.csv
FT139,,,10.1109/incsst64791.2025.11210288,Detecting Phishing URLs and Email using Deep Learning: Developing Cybersecurity,2025,10.1109/incsst64791.2025.11210288,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The paper reports URL feature-importance scores and deep-learning results but no separable post-hoc explainer.,core_database_candidates.csv
FT140,,,10.1109/iccpct65132.2025.11176674,"Enhanced Phishing Detection using Machine Learning, NLP and Emerging Technologies",2025,10.1109/iccpct65132.2025.11176674,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"PhishDefender-X mentions SHAP/LIME as transparency tools, but the reported sections do not implement or evaluate post-hoc explanation outputs.",core_database_candidates.csv
FT141,,,scopus.csv:260,Generative AI-Powered Cybersecurity Threats: Phishing and Deepfakes,2025,,record_unverified_no_doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E8,"Full text unavailable, unverifiable, or not retrievable",unclear,unclear,unclear,no,The record could not be verified or retrieved and was excluded.,core_database_candidates.csv
FT142,,,10.1109/icsss66939.2025.11346282,"Implement AI to Protect Banks from Cyberthreats: Identify Insider Threats, Phishing Attacks, and Strange Transactions in Banking Systems",2025,10.1109/icsss66939.2025.11346282,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,"The banking framework detects insider threats, phishing attacks, and strange transactions; phishing is only one component of a broader multi-threat target.",core_database_candidates.csv
FT143,,,10.1109/incsst64791.2025.11210405,Improvement in Email Security with Machine Learning for Real-Time Phishing Attack Detection: An AI-Based Approach,2025,10.1109/incsst64791.2025.11210405,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The email security paper discusses XAI in literature and future directions but does not implement an explainer.,core_database_candidates.csv
FT144,S082,Tashtoush2025LeveragingLargeLanguageAnalysis,10.1109/cyber-ai66431.2025.11233620,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,2025,10.1109/cyber-ai66431.2025.11233620,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,"GPT-4o-mini produces a structured phishing decision report with summary, indicators, recommendations, and expert-scored explanation categories.",citation_key_map_core_database.csv
FT145,,,10.3389/frcmn.2025.1587654,Multimodal framework for phishing attack detection and mitigation through behavior analysis using EM-BERT and SPCA-BASED EAI-SC-LSTM,2025,10.3389/frcmn.2025.1587654,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,exclude,E6,xAI mechanism underspecified or not extractable,yes,yes,unclear,no,"The EAI-SC-LSTM equation embeds an unspecified EAI term into the hidden state, without a clear separable or extractable explainer workflow.",core_database_candidates.csv
FT146,S083,Mendoza2025PhishFindRealTime,10.1145/3771678.3771683,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,2025,10.1145/3771678.3771683,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,PhishFind combines ML risk scoring with a GPT-4 API component that identifies problematic code lines and generates a justification for suspicious pages.,citation_key_map_core_database.csv
FT147,,,10.23919/sicefes67750.2025.11236580,"Safe, Suspicious, or Phishing? Classifying SMS with LLMs",2025,10.23919/sicefes67750.2025.11236580,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The SMS classifier notes future integration of explainable AI and says interpretability is currently restricted.,core_database_candidates.csv
FT148,,,10.1109/ictbig68706.2025.11323735,VishGuard: AI-Powered Real-Time Defense Against Voice Phishing,2025,10.1109/ictbig68706.2025.11323735,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,"VishGuard displays rule-like reasons for call warnings, but does not specify or evaluate a post-hoc explainer.",core_database_candidates.csv
FT149,S084,Hassan2024EnhancingCyberSecurityEnsemble,10.1109/iccit64611.2024.11022560,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,2024,10.1109/iccit64611.2024.11022560,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,"The phishing-site ensemble paper defines SHAP, reports global feature importance, and gives local contribution plots for XGBoost features.",citation_key_map_core_database.csv
FT150,,,10.32604/cmc.2024.057211,ML-SPAs: Fortifying Healthcare Cybersecurity Leveraging Varied Machine Learning Approaches against Spear Phishing Attacks,2024,10.32604/cmc.2024.057211,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,exclude,E3,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The healthcare spear-phishing study calls for transparent/interpretable models but does not name or implement a post-hoc explanation method.,core_database_candidates.csv
FT151,,,10.1109/icscan62807.2024.10894084,Phishing Site Detection using Machine Learning,2024,10.1109/icscan62807.2024.10894084,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,no,no,The phishing-site detector relies on Decision Tree/Random Forest interpretability and does not implement a separable explainer.,core_database_candidates.csv
FT152,S085,Charmet2024VORTEXVisualDetectiOnsARe,10.1145/3654665,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,2024,10.1145/3654665,doi_recorded,Scopus; Web of Science; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,"VORTEX implements an XAI layer with GradCAM, GradCAM++, LayerCAM, AblationCAM, and ScoreCAM for visual phishing detection decisions.",citation_key_map_core_database.csv
FT153,,,10.1109/hpcc-dss-smartcity-dependsys60770.2023.00085,Translets: Toward Explainable Phishing Fraud Detection in Ethereum,2023,10.1109/hpcc-dss-smartcity-dependsys60770.2023.00085,doi_recorded,IEEE Xplore; Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,yes,no,"Translets detects Ethereum phishing fraud accounts and interprets blockchain transaction features, not phishing URLs/emails/websites.",core_database_candidates.csv
FT154,,,10.1145/3615522.3615540,Visual Analytics for Phishing Scam Identification in Blockchain Transactions with Multiple Model Comparison,2023,10.1145/3615522.3615540,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,no,no,The visual analytics system explores blockchain phishing-scam transaction networks rather than phishing-content or URL/email detection.,core_database_candidates.csv
FT155,,,10.1007/978-3-032-06744-9_4,A Vision for Robust and Human-Centric LLM-Based QR Code Security,2026,10.1007/978-3-032-06744-9_4,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E2,"Non-primary, review, framework, or vision article",no,no,no,no,The QR-code security paper is explicitly a vision/proposed framework and does not report a completed empirical detector/explainer evaluation.,core_database_candidates.csv
FT156,S086,Islam2024PhishGuardConvolutionalNeuralNetwork,10.1109/aiiot58432.2024.10574688,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,2024,10.1109/aiiot58432.2024.10574688,doi_recorded,IEEE Xplore,fulltext_reviewed,include,,,yes,yes,yes,yes,"PhishGuard uses SHAP DeepExplainer with global hierarchy, decision, and waterfall plots to explain CNN phishing-URL predictions.",citation_key_map_core_database.csv
