study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,screening_decision,phishing_subtype,modality,model_family,posthoc_xai_method,dataset,evaluation_metrics,baseline_models,explanation_purpose,main_findings,limitations,reproducibility_notes,threats_to_validity,synthesis_notes,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,FT099,10.1109/gcwcn66157.2025.11448531,IEEE Xplore,10.1109/gcwcn66157.2025.11448531,doi_recorded,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,include,browser-based phishing and spam detection,"URL, browser, email/text, Unicode/IDN, and HTML/contextual signals",hybrid rule-based plus ML classifiers; LightGBM; Bi-LSTM,LIME; SHAP,"Mixed benchmark and real-world datasets including PhishTank, Enron-Spam, Nazario, SpamAssassin logs, and synthetic text augmentation; 70/15/15 train/validation/test split.",accuracy; precision; recall; F1-score; real-time responsiveness; deployment/usability evidence.,Rule-based checks and ML/deep-learning components within the SafeSurf-AI architecture; explicit external baseline table is limited in the extracted text.,show browser users which tokens or URL components influenced phishing/spam classifications in real time.,"SafeSurf-AI reports around 96.4% overall accuracy and precision/recall/F1 above 95% for spam and non-spam classes. The system integrates Unicode normalization, Punycode/IDN checks, LIME/SHAP explanations, and a phishing-awareness simulation module.",Phishing and spam are mixed in the scope; synthetic augmentation and deployment claims are not validated by a large independent field study; class-specific phishing-only results are limited.,"System modules, Chrome extension/Flask architecture, data sources, and deployment options are described.",Synthetic and heterogeneous sources may bias metrics; browser-real-time claims require latency and field validation beyond reported prototype evidence.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: high.,multimodal,SHAP; LIME,boosted trees; deep learning; hybrid ML/DL,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,A Chrome extension and Flask-based browser workflow provide real-time predictions and SHAP/LIME explanations.,interface,mixed public/custom,multi-dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S067,AlSubaiey2024NovelInterpretableRobustWeb,FT100,10.1016/j.compeleceng.2024.109625,Scopus; Web of Science; Scopus-expanded,10.1016/j.compeleceng.2024.109625,doi_recorded,2024,Novel interpretable and robust web-based AI platform for phishing email detection,include,phishing email detection,email text,SVM with TF-IDF; Multinomial Naive Bayes; Random Forest,LIME,"Six public spam/phishing email datasets merged into about 82,500 emails, including 42,891 spam and 39,595 legitimate/ham emails after preprocessing; 80/20 split.",accuracy; precision; recall; F1-score; AUC-ROC; LIME qualitative visualizations; platform/deployment evidence.,SVM; Multinomial Naive Bayes; Random Forest; TF-IDF and Word2Vec feature representations.,use LIME to visualize words that contribute to SVM email classifications in a web-based phishing/spam detection platform.,"The selected SVM with TF-IDF preprocessing is reported at about 99.1-99.19% accuracy with about 99% precision, recall, and F1-score. LIME examples highlight phishing-indicative words and support feature importance visualization in the deployed platform.",The corpus merges heterogeneous and partly older datasets; phishing and spam labels may be conflated; English-language and source-period bias are noted; server resource constraints are discussed.,"The paper describes dataset merging, preprocessing, TF-IDF/Word2Vec comparison, SVM selection, and LIME visualization examples; text was extracted using fallback plaintext extraction.",Dataset heterogeneity and temporal drift may affect generalization; LIME examples are qualitative and may not measure user trust directly.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: moderate.,email,LIME,classical ML; random forest,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",interface,unclear/on request,multi-dataset,moderate,"High benchmark performance and a web platform are reported, but heterogeneous source merging and possible spam/phishing label conflation constrain generalization.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S068,Choutapally2024PaciPhishInterpretableURL,FT101,10.1109/cars61786.2024.10778820,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cars61786.2024.10778820,doi_recorded,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,include,phishing URL detection,URL token/count-vector features,Logistic Regression; Multinomial Naive Bayes; MLP; SVC,LIME,"Custom PhishTank malicious URLs plus manually collected benign URLs; experiments vary balanced sizes E_good=E_bad from 100 to 400, with best reported at 300 each.",accuracy; macro-precision; macro-recall; macro-F1; training time; LIME local explanations.,Logistic Regression; Multinomial Naive Bayes; MLP; SVC; comparison with two prior PUD frameworks.,use LIME as a separable local explanation layer for URL predictions and to expose influential URL tokens/features.,Logistic Regression achieves the highest model-selection performance with A/P/R/F all reported at 0.99. Dataset-size experiments also peak at E_good=E_bad=300 with A/P/R/F at 0.99. PaciPhish reports comparable accuracy to prior frameworks and much lower training time in the presented comparison.,Small custom balanced dataset; malicious URLs from PhishTank may be visually/simple after existing filtering; authors note vulnerability to carefully crafted URLs and single-model dependency.,"Data collection, tokenization/stemming, CountVectorizer features, 80/20 split, LIME equations, and metrics are described.",Small-size and PhishTank-source bias limit generalization; overfitting is observed when dataset size increases beyond 300 per class.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: high.,url,LIME,classical ML; deep learning,local decision rationale,,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,mixed public/custom,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S069,Kluge2021ExplainingSuspicionDesignUser,FT102,10.1007/978-3-030-86797-3_17,Scopus; Scopus-expanded,10.1007/978-3-030-86797-3_17,doi_recorded,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,include,phishing email detection / anti-phishing warning support,email text,black-box phishing detector instantiated as bidirectional LSTM,model-agnostic text-highlight explanation via relevant text-segment search,"English-language IWSPA-AP v2.0 dataset with 452 phishing and 3,505 legitimate emails; 80% training and 20% test split.","false-positive rate; suspicious email threshold behavior; explanation score, length, and relevance proxy metrics; human coding overlap for phishing cues.",State-of-the-art phishing detector treated as black box; no multi-detector benchmark is central.,highlight words and phrases in suspicious emails so users can assess the threat rather than receiving a generic warning.,"With thresholds t_phish=0.98 and t_susp=0.20, the detector yields 0.43% false-positive rate and only 2.2% of phishing emails reach users without explanations. The proposed explanation search generates concise text highlights that match phishing cues according to functionally grounded evaluation.",Evaluation is artificial rather than a full deployed user study; method can only surface cues used by the underlying detector; the UI/warning system remains to be fully developed.,"Dataset, thresholds, LSTM detector, sampling/search parameters, beam width, and explanation objective are specified.",Applicability depends on the detector's learned cues matching human-recognized phishing cues; results may vary under other detectors or email corpora.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: none. Validation gate: human interpretation. Reproducibility: moderate. Claim-evidence risk: low.,email,custom text-highlight explanation,deep learning,local decision rationale,,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",none,"No concrete runtime, resource, prototype, workflow, or field-deployment evidence is extracted.",human interpretation,unclear/on request,single dataset,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S070,Ananthajothi2026HybridTabNetTransformerText,FT103,10.1109/iitcee67948.2026.11394524,IEEE Xplore,10.1109/iitcee67948.2026.11394524,doi_recorded,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,include,hybrid phishing detection using URL and text features,structured URL/domain features plus email/webpage text,TabNet plus Transformer-based text analysis,SHAP,Phishing Websites Dataset for structured features plus a curated phishing email/text dataset; exact sample counts are not clearly specified in the extracted text.,accuracy; precision; recall; F1-score; confusion matrix; real-time confidence examples; SHAP feature importance.,Implicit comparison to TabNet-only/single-modality approaches; no detailed external baseline table is central in the extracted text.,show how structured features and text patterns contribute to hybrid phishing decisions.,The hybrid TabNet-Transformer reports about 95.25% test accuracy in the detailed classification report and 96.7% accuracy in the abstract/conclusion. SHAP is used to expose contributions from structured URL/domain features and text patterns.,Dataset counts and external validation are underspecified; some reported accuracy values differ between sections; explanation detail is relatively shallow.,"Architecture, feature categories, evaluation metrics, and SHAP integration are described, but dataset provenance is not fully detailed.",Potential inconsistency in reported metrics and missing dataset details limit reliability of quantitative synthesis.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: low. Claim-evidence risk: high.,multimodal,SHAP,deep learning; transformer/LLM; hybrid ML/DL,model inspection,local decision rationale,no,none/rhetorical,SHAP feature attribution is reported without a human study or a quantitative explanation-quality proxy.,none,No measured runtime/resource or implemented interface evidence is reported.,artifact,custom/proprietary,multi-dataset,low,"Inconsistent reported accuracy, incomplete dataset provenance, and underspecified external validation create a material claim-evidence mismatch.",high,Derived coding generated from full-text extraction and checked conservatively.
S071,Shakir2026NovelPSOOptimizedRandom,FT104,10.22266/ijies2026.0531.02,Scopus; Scopus-expanded,10.22266/ijies2026.0531.02,doi_recorded,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,include,phishing website detection,website/url tabular features,Random Forest optimized by Particle Swarm Optimization,LIME,"Three phishing datasets: Zieni, UCI Phishing Websites, and Mendeley/Phishing_Legitimate; UCI has about 11,000 instances and 30 behavioral/structural features; experiments report results for all three datasets.",accuracy; precision; recall; F1-score; MCC; ROC-AUC; training time; testing time; paired tests and confidence intervals; LIME local explanations.,LR; AdaBoost; MLP; Decision Tree; Random Forest; KNN; SVM; SGD; non-optimized RF.,use LIME to quantify feature contributions for RF_PSO predictions across multiple phishing datasets.,"RF_PSO reports accuracy/AUC of 90.30%/0.9653 on Zieni, 97.11%/0.9955 on UCI, and 98.70%/0.9989 on Mendeley. LIME highlights dataset-specific influential features, while PSO tuning improves RF stability and speed.","Some datasets use anonymized feature names, reducing semantic interpretability; PSO overhead is mainly offline but still adds training complexity; external live validation is absent.","PSO search space, particles/iterations, metrics, dataset list, and LIME workflow are described.",Reported significance depends on repeated-run setup; anonymized features make explanation usefulness less clear to practitioners.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: low.,url/website,LIME,random forest; optimization-assisted ML,local decision rationale,,no,none/rhetorical,"LIME provides local feature contributions, but explanation usefulness is not evaluated with users or automated trust proxies.",runtime/resource,"Training/testing time is measured, but no implemented interface or lifecycle workflow is evaluated.",artifact,public benchmark,multi-dataset,moderate,"Evidence is comparatively stronger, but conclusions should still remain limited to the reported validation gate.",low,Derived coding generated from full-text extraction and checked conservatively.
S072,Sathiyapriya2026EmailLinkGenerativeML,FT105,10.1109/idciot67589.2026.11455836,IEEE Xplore,10.1109/idciot67589.2026.11455836,doi_recorded,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,include,phishing email and malicious link detection,"email text, URL, metadata, threat-intelligence and synthetic samples",XGBoost; BERT; LLM/RAG hybrid,SHAP; LIME; LLM natural-language rationalization,"PhishTank and URLhaus 2023-2024 snapshots, Kaggle Phishing Email Dataset 2022, SpamAssassin, Enron, plus LLaMA-3-generated synthetic phishing variants; combined 120,000 samples with 55% benign and 45% phishing/suspicious; 70/15/15 split.",accuracy; precision; recall; F1-score; false-positive rate; latency; zero-day recall; analyst feedback/triage time.,rule-based filtering; Random Forest with structural features; CNN text classifier; proposed LLM+ML+XAI framework.,combine feature attribution and LLM-generated rationales for analyst-facing explanations of email/link decisions.,"The proposed framework reports 94.2% accuracy, 92.8% precision, 91.7% recall, about 92% F1, 4% FPR, and 85 ms average latency. It reports over 40% false-positive reduction relative to rule-based systems and a 37% reduction in SOC triage time in a 12-analyst feedback exercise.","Relies partly on synthetic phishing generated by LLaMA-3; high-end hardware is used; analyst study details are limited; system combines many components, making component attribution difficult.","Datasets, split, model components, explainability modules, Docker/Kubernetes deployment, and hardware are described.",Synthetic data realism and LLM/RAG configuration may affect reported zero-day performance; analyst feedback may not generalize to operational SOCs.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: behavior/field outcome. Operational evidence: workflow/lifecycle. Validation gate: decision/behavior. Reproducibility: moderate. Claim-evidence risk: high.,multimodal,SHAP; LIME; LLM natural-language explanation,boosted trees; transformer/LLM; hybrid ML/DL,operational interface support,local decision rationale,no,behavior/field outcome,A 12-analyst user study reports a 37% reduction in average investigation/triage time when explainability reports are used.,workflow/lifecycle,"Workflow, lifecycle, throughput, retraining, or SOC-style evidence is reported.",decision/behavior,mixed public/custom,temporal/zero-day,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S073,Shanthi2026SecureURLIntelligenceEngine,FT110,10.1109/iciss67859.2026.11453639,IEEE Xplore,10.1109/iciss67859.2026.11453639,doi_recorded,2026,Secure URL Intelligence Based Engine for Phishing Detection,include,phishing URL detection,"URL lexical, metadata, domain, NLP tokenization, and character-level features",Random Forest; XGBoost; CNN-LSTM; stacked/soft-voting ensemble,SHAP,"Approximately 11,000 legitimate and phishing URLs with URL length, special characters, tokens, entropy, HTTPS use, redirection, domain age, and DNS features; 80/20 train-test split.",accuracy; precision; recall; AUC; user-study agreement and perceived trust; real-time/web app evidence.,Random Forest; SVM; XGBoost; CNN-LSTM; ensemble.,make the URL intelligence engine's risk scores readable through SHAP and trust-score explanations.,"The ensemble reports accuracy 92.4%, precision 91.8%, recall 93.1%, and AUC 0.95. A 50-participant usability study reports reduced evaluation time, 88% agreement with expert judgment, 93% user trust-score usefulness, and high interface intuitiveness.",Method description contains proposal-like wording; full dataset provenance and class distribution are not fully specified; the SHAP explanation details are shallow.,"Feature categories, split, classifiers, ensemble weights, and evaluation metrics are described; exact dataset release is not clear.",User-study and expert-agreement details are limited; conceptual live-data module is not evidence of validated deployment.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: prototype/interface. Validation gate: human interpretation. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP,random forest; boosted trees; ensemble/AutoML; deep learning; CNN/visual detector,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,"The extracted text reports expert, user, analyst, questionnaire, or human-annotation evidence; treat as limited human-facing evidence rather than field trust.",prototype/interface,"A prototype, API, browser, dashboard, platform, GUI, or real-time interface is described.",human interpretation,unclear/on request,single dataset,moderate,"Measured usability evidence supports bounded human-facing claims, but dataset provenance and study-design reporting remain incomplete.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S074,Mursi2025AgainstSmishingKenyaCulturally,FT111,10.1109/ictmod66732.2025.11371821,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictmod66732.2025.11371821,doi_recorded,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,include,smishing / SMS scam detection,SMS text and culturally adapted linguistic/psychological features,XGBoost; Logistic Regression,SHAP,"Crowdsourced Kenyan SMS dataset of 738 messages, final binary labels: 311 legitimate and 427 scam messages; 70/30 stratified train-test split.",accuracy; precision; recall; F1-score; SHAP trigger-category analysis; prototype/user feedback.,XGBoost and Logistic Regression compared.,"identify culturally meaningful scam cues such as urgency, code-switching, social proof, fear, and greed for explainable alerts.","XGBoost achieves 83.78% test accuracy; Logistic Regression reaches 78.38% but higher scam recall around 91.76%. SHAP indicates urgency, greed, social proof, and local language mixing as influential scam predictors.",Dataset is small and locally specific; moderate-risk scams remain difficult; larger and more diverse data are needed for generalization.,"Label Studio review, feature types, split, model set, and GitHub availability for dataset/model artifacts are stated.",Smishing is phishing-adjacent and culturally localized; keyword and TF-IDF features may miss subtle new scams.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: prototype/interface. Validation gate: human interpretation. Reproducibility: high. Claim-evidence risk: high.,sms/smishing,SHAP,classical ML; boosted trees,operational interface support,model inspection,no,explicit human/user/analyst evaluation,"Volunteers, students, and early testers reviewed Streamlit prototype predictions and provided qualitative safe/scam feedback.",prototype/interface,A Streamlit prototype with real-time review and user feedback is implemented.,human interpretation,public benchmark,single dataset,high,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S075,Chiper2025EveryCharacterCountsFrom,FT112,10.1109/ictai66417.2025.00066,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictai66417.2025.00066,doi_recorded,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,include,phishing email detection under adversarial perturbations,character-level email text,CharCNN; CharGRU; CharBiLSTM,character-level Grad-CAM,"Aggregated large-scale email corpus of 227,973 emails, including 108,032 phishing and 119,941 clean emails, from Enron, Ling-Spam, Nazario, SpamAssassin, Nigerian fraud, and other datasets; 70/15/15 split.",accuracy; weighted/macro precision; weighted/macro recall; weighted/macro F1; adversarial testing/training; inference time; Grad-CAM heatmaps.,"CharCNN; CharGRU; CharBiLSTM; comparison with LLaMA 3.2 on 1,000 adversarial emails.",visualize influential character regions in email bodies and inspect how adversarial perturbations affect model attention.,"CharGRU is best across scenarios, with about 0.97 accuracy and near-0.98 F1 on clean testing, about 0.96 under adversarial testing, and 0.9855 accuracy/F1 after adversarial training. Grad-CAM highlights URLs, HTML tags, capitalized phrases, and social-engineering segments.",All experiments run under CPU constraints; character-level models can still be vulnerable before adversarial training; merged datasets may include varied domains and time periods.,"Open-source code/data URL is reported; architecture settings, adversarial perturbation rates, and dataset sources are specified.",Dataset aggregation and deduplication choices may affect class balance; adversarial attack model may not cover all real evasion tactics.,Explanation role: robustness/failure analysis. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: high. Claim-evidence risk: moderate.,email,Grad-CAM/CAM,deep learning; CNN/visual detector,robustness/failure analysis,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"CPU experimental execution is reported, but no implemented operational interface or lifecycle workflow is evaluated.",artifact,public benchmark,single dataset,high,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S076,Kapoor2025PrivacyPreservingEnsembleURL,FT113,10.1109/medcom67532.2025.11405148,IEEE Xplore,10.1109/medcom67532.2025.11405148,doi_recorded,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,include,phishing URL detection,URL and network/tabular features,Logistic Regression; Decision Tree; Random Forest; Federated Logistic Regression; ensemble; anomaly detectors,SHAP; LIME,Phishing and benign URLs imported from Zenodo and Kaggle; exact final sample count is not clearly stated in the extracted text.,accuracy; precision; recall; F1-score; Brier score; MCC; ROC/PR curves; calibration; lift/gain; SHAP/LIME analyses.,Isolation Forest; One-Class SVM; Logistic Regression; Decision Tree; Random Forest; Federated Logistic Regression; ensemble.,provide local/global prediction rationales while preserving privacy through federated-learning simulation.,"Random Forest reports 97.97% accuracy, 96.48% precision, 98.93% recall, and 97.69% F1; ensemble reaches the highest recall at 99.57%. SHAP/LIME identify IP counts, domain lengths, subdomain features, path lengths, and DNS features.",Exact dataset size and source composition are unclear; zero-day support is partial; no real-time data pipeline or adversarial robustness is yet implemented.,"Python/Colab implementation, modular data ingestion, federated simulation, model list, and explainers are described.",Unclear dataset count and source balance limit quantitative comparability; federated privacy claims are simulation-level.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: low. Claim-evidence risk: high.,url,SHAP; LIME,classical ML; random forest; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",none,"Federated-learning simulation is reported, but no implemented operational interface or field deployment is evaluated.",artifact,public benchmark,single dataset,low,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
S077,Zhang2025TowardsEducationalZeroShot,FT114,10.1109/bigdata66926.2025.11402600,IEEE Xplore,10.1109/bigdata66926.2025.11402600,doi_recorded,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,include,visual phishing webpage / brand impersonation detection,webpage screenshot plus URL,zero-shot multimodal LLM using GPT-4 Vision / GPT-4o,LLM chain-of-thought natural-language explanation with visual annotations,"CIRCL Phishing Dataset; original 459 labeled phishing screenshots across 55+ brands, manually filtered to 272 high-quality phishing screenshots with clear brand targets.",brand-recognition accuracy; macro precision; macro recall; macro F1; explanation examples; latency/cost discussion.,SVM; Random Forest; XGBoost; LightGBM; CatBoost; CNN; MLP; vision transformer baselines trained on multimodal features.,turn screenshot+URL evidence into educational explanations for users and analyst triage.,"The zero-shot GPT-4 Vision approach reports 82.0% accuracy and 77.9% macro F1 for brand recognition on the filtered CIRCL set, outperforming supervised baselines without task-specific training. Explanations decompose brand identification, domain mismatch, credential request, and social-engineering evidence.",Evaluation focuses on brand recognition within phishing screenshots rather than full benign-vs-phishing classification; API-based LLM inference has 2-5 s latency and cost; proprietary model dependence and English-language scope are noted.,"Dataset filtering criteria, prompt structure, baseline categories, and output schema are described.",No task-specific training helps deployment but makes reliability dependent on a proprietary LLM; adversarial and multilingual robustness are not evaluated.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,visual,LLM natural-language explanation,transformer/LLM,local decision rationale,,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,LLM inference latency/cost is reported; no implemented interface or lifecycle deployment is evaluated.,artifact,custom/proprietary,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S078,Greco2023ExplainingAttacksEnhanceUser,FT121,PlanB:PB-ALL-030; sources:Scopus-expanded; verified:CEUR/DBLP; url:https://ceur-ws.org/Vol-3488/paper22.pdf,Scopus; Scopus-expanded,,no_doi_identified,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,include,phishing email detection and warning explanation,email HTML/link-derived features,Decision Tree; Logistic Regression; SVM; Random Forest; MLP; DNN; Explainable Boosting Machine,LIME; SHAP; EBM intrinsic local/global explanation,"SpamAssassin and Enron email corpora filtered for emails with links: 2,962 legitimate and 1,452 phishing emails; 80/20 split with 5-fold stratified cross-validation.",precision; recall; negative predictive value; specificity; accuracy; ROC-AUC; F1-score; user-facing warning design evidence.,Decision Tree; Logistic Regression; SVM; Random Forest; MLP; DNN; EBM.,translate feature-importance vectors into user-facing warning messages explaining why an email/link is dangerous.,"EBM reports the best F1-score at 98.0%, with 98.3% precision, 97.7% recall, 98.7% accuracy, and 99.6% ROC-AUC; Random Forest reaches 97.8% F1. LIME and SHAP explain black-box models, while EBM provides intrinsic local/global explanations.",Dataset dates back to 2008 and may not reflect current phishing; selected 18 features are manually chosen by the authors; emails without phishing links and attachment/social-engineering attacks are excluded.,"Feature list, datasets, split, cross-validation, model set, and warning-message template logic are described.","Older corpora and feature selection based on author judgment limit ecological validity; user-study result is referenced from related prior work, not fully re-evaluated here.",Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: moderate.,email,SHAP; LIME; Explainable Boosting Machine,classical ML; random forest; boosted trees; deep learning,operational interface support,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",prototype/interface,An explanatory warning-dialog/interface is designed and instantiated; no lifecycle or field deployment is evaluated in this study.,interface,mixed public/custom,single dataset,moderate,"Evidence supports artifact-level or bounded operational claims, but not broad trust or field-effectiveness claims.",moderate,Derived coding generated from full-text extraction and checked conservatively.
S079,Bharanidharan2026EnsembleUrlLightweightCyber,FT127,10.1109/icmsci67830.2026.11469630,IEEE Xplore,10.1109/icmsci67830.2026.11469630,doi_recorded,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,include,phishing URL detection,lexical URL and lightweight CTI-inspired features,LightGBM; XGBoost; Explainable Boosting Machine; calibrated stacking ensemble,SHAP; EBM global/local explanations,Mendeley Phishing Websites Dataset (n96ncsr5g4); exact sample count not stated in the extracted evidence.,accuracy; precision; recall; F1-score; AUROC; PR-AUC; ablation; confusion matrix; inference latency.,Random Forest; CNN; LightGBM; XGBoost; EBM; proposed X-URLIntelNet ensemble.,"balance predictive accuracy, feature compactness, latency, and interpretability for scalable URL detection.","X-URLIntelNet reports 97.2% accuracy, 96.7% precision, 96.2% recall, 96.4% F1, AUROC 0.963, PR-AUC 0.960, and 1.3 ms/sample inference latency. SHAP and EBM identify subdomain count, domain-token count, HTTPS, and lexical CTI features as salient.",Dataset sample count is unclear in the extracted text; robustness against adversarial URLs and HTML/user-interaction signals are deferred to future work.,"Framework components, NSGA-II objectives, model list, metrics, and latency are described.",Single-dataset validation and lexical-only CTI may miss sophisticated phishing pages; proposed optimization complexity may affect deployment reproducibility.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: high.,url,SHAP; Explainable Boosting Machine,boosted trees; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,"No explicit human, user, analyst, or behavioral trust evaluation is extracted.",runtime/resource,"Runtime, latency, resource, model-size, or timing evidence is reported.",artifact,public benchmark,single dataset,moderate,"Claims require strong qualification because the extracted evidence has benchmark, scope, proxy, single-dataset, synthetic, or reproducibility risks.",high,Derived coding generated from full-text extraction and checked conservatively.
